"calon"
"1. ROBIATUL ADAWIYAH"
"2. ROMY YANSYAH"
"3. RIPANDI"
"4. KHARISMA HILMY DWI IFANGGA"
"5. UFIATUN NAFISAH"
"6. ARGA KIEN DWIJANA"
"7. EVIANA RAMADHANI SUGIARTO"
"8. IRFAN ZUHDA JOEHDANTO ASLAM"
"9. MOHAMMAD DIMAS AGUNG DWIRYA"
"10. MOHAMMAD DAMANHURI"
"11. YUSUF AL FARIZI"
"12. MOCHAMAD DIO"
"13. DANY WIDIYANTO"
"14. ELVA DEWI LESTARI"
"15. MOH. TAMIM ANSORI"
"16. MOH MUSTAKIM"
"17. LILIK MAULIDA KHASANAH"
"18. SANTI EKA ALVIONITA"
"19. SAMHAJI"
